Lat,Lon,Mcc,Mnc,Lac,Cellid,Range,Nbsamples,Createdat,Updatedat,Needscomputation,Country,Operator,,
21.414813,39.863121,420,1,682,62888,6000,"<ahref=""/mesure/map/1244862"">1</a>",WedFeb0111:16:10+01002012,FriMar0911:30:37+01002012,FALSE,SaudiArabia,SaudiTelecom/AlJawal,"<ahref=""/cell/show/1244862"">Show</a>","<ahref=""/cell/map/1244862"">Map</a>"
21.41488,39.863136,420,1,682,65521,0,"<ahref=""/mesure/map/1244861"">1</a>",WedFeb0111:13:52+01002012,WedFeb0111:13:52+01002012,TRUE,SaudiArabia,SaudiTelecom/AlJawal,"<ahref=""/cell/show/1244861"">Show</a>","<ahref=""/cell/map/1244861"">Map</a>"
21.423217,39.860755,420,1,701,62858,0,"<ahref=""/mesure/map/1244823"">1</a>",WedFeb0110:41:59+01002012,WedFeb0110:41:59+01002012,TRUE,SaudiArabia,SaudiTelecom/AlJawal,"<ahref=""/cell/show/1244823"">Show</a>","<ahref=""/cell/map/1244823"">Map</a>"
21.423271,39.860477,420,1,701,62857,0,"<ahref=""/mesure/map/1244822"">1</a>",WedFeb0110:40:54+01002012,WedFeb0110:40:54+01002012,TRUE,SaudiArabia,SaudiTelecom/AlJawal,"<ahref=""/cell/show/1244822"">Show</a>","<ahref=""/cell/map/1244822"">Map</a>"
21.419389,39.857806,420,1,701,62232,6000,"<ahref=""/mesure/map/1244810"">2</a>",WedFeb0110:05:11+01002012,WedFeb0110:56:26+01002012,TRUE,SaudiArabia,SaudiTelecom/AlJawal,"<ahref=""/cell/show/1244810"">Show</a>","<ahref=""/cell/map/1244810"">Map</a>"
17.94737053,43.21185684,420,3,,47442,0,"<ahref=""/mesure/map/1236917"">1</a>",SatJan2814:14:58+01002012,SatJan2814:14:58+01002012,TRUE,SaudiArabia,EtihadEtisalat/Mobiliy,"<ahref=""/cell/show/1236917"">Show</a>","<ahref=""/cell/map/1236917"">Map</a>"
20.45199184,40.88926302,420,3,2137,6935691,0,"<ahref=""/mesure/map/1233503"">2</a>",ThuJan2609:26:36+01002012,ThuJan2609:29:56+01002012,TRUE,SaudiArabia,EtihadEtisalat/Mobiliy,"<ahref=""/cell/show/1233503"">Show</a>","<ahref=""/cell/map/1233503"">Map</a>"
20.45181856,40.88928882,420,3,2137,6935363,0,"<ahref=""/mesure/map/1233480"">13</a>",ThuJan2608:23:51+01002012,ThuJan2611:06:07+01002012,TRUE,SaudiArabia,EtihadEtisalat/Mobiliy,"<ahref=""/cell/show/1233480"">Show</a>","<ahref=""/cell/map/1233480"">Map</a>"
20.45219229,40.88918979,420,3,2137,6935361,0,"<ahref=""/mesure/map/1233479"">21</a>",ThuJan2608:22:18+01002012,ThuJan2611:20:08+01002012,TRUE,SaudiArabia,EtihadEtisalat/Mobiliy,"<ahref=""/cell/show/1233479"">Show</a>","<ahref=""/cell/map/1233479"">Map</a>"
21.573692,39.160425,420,3,2161,58082,6000,"<ahref=""/mesure/map/1197840"">1</a>",SunJan0819:27:45+01002012,FriJan2014:31:46+01002012,FALSE,SaudiArabia,EtihadEtisalat/Mobiliy,"<ahref=""/cell/show/1197840"">Show</a>","<ahref=""/cell/map/1197840"">Map</a>"
21.597092,39.133474,420,3,2135,6648648,0,"<ahref=""/mesure/map/1173170"">1</a>",ThuDec2921:56:47+01002011,ThuDec2921:56:47+01002011,TRUE,SaudiArabia,EtihadEtisalat/Mobiliy,"<ahref=""/cell/show/1173170"">Show</a>","<ahref=""/cell/map/1173170"">Map</a>"
24.62628344,46.66705152,420,1,328,15834,6000,"<ahref=""/mesure/map/1164028"">1</a>",TueDec2706:18:25+01002011,ThuJan1921:55:03+01002012,FALSE,SaudiArabia,SaudiTelecom/AlJawal,"<ahref=""/cell/show/1164028"">Show</a>","<ahref=""/cell/map/1164028"">Map</a>"
24.62628191,46.66704827,420,1,3591,7161275,6000,"<ahref=""/mesure/map/1163934"">2</a>",TueDec2705:22:37+01002011,SunMar0417:39:56+01002012,FALSE,SaudiArabia,SaudiTelecom/AlJawal,"<ahref=""/cell/show/1163934"">Show</a>","<ahref=""/cell/map/1163934"">Map</a>"
