Id,ProjectName,Country,Town,Latitude,Longitude,Scope,Technology,Capacitym3d,Feedwater,Offtaker,Units,Contractdate,Onlinedate,Status,Rawwatersalinity,Powerconsumption,Contractscope,Dealstructure,EstimatedEPCcost,Currency,EPCContractordesal1,EPCContractordesal2,EPCContractordesal3,EPCContractordesal4,EPCContractordesal5
51762,Al-Afaliq Site,Saudi Arabia,Al Hassa,21.54762072,39.23300172,Desalination Plant,RO (Reverse osmosis),200,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),1,2008,2009,Construction,,,,,,,VEOLIA METITO ARABIA INDUSTRIES,,,,
53778,Al-Jouf,Saudi Arabia,Al Jouf,29.5,38.75,Desalination Plant,RO (Reverse osmosis),100,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,2010,2010,Construction,,,,,,,Wetico,,,,
53504,Alfadl-2000,Saudi Arabia,Jeddah,21.5169444,39.2191667,Desalination Plant,RO (Reverse osmosis),2200,Seawater (TDS 20000ppm - 50000ppm),Tourist facilities drinking water in  (TDS 10ppm - <1000ppm),2,2010,2011,Construction,,,,,,,International Hydro Systems,,,,
54345,Bohairat City (Boot),Saudi Arabia,Jeddah,21.5169444,39.2191667,Desalination Plant,RO (Reverse osmosis),5000,Seawater (TDS 20000ppm - 50000ppm),Tourist facilities drinking water in  (TDS 10ppm - <1000ppm),,2011,2012,Construction,,,,,,,,,,,
53435,Busaithah,Saudi Arabia,Saudi Arabia,24.046464,44.67480496,Desalination Plant,RO (Reverse osmosis),35000,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,2010,2010,Construction,,,,,,,Wetico,,,,
53892,Business Park Project,Saudi Arabia,Dhahran,26.3041667,50.1325,Desalination Plant,RO (Reverse osmosis),100,Brackish water or inland water (TDS 3000ppm - <20000ppm),Irrigation (TDS <1000ppm),1,2010,2010,Construction,,,,,,,Veolia Water Solutions & Technologies,,,,
53837,Carlton Al Moaibed Hotel,Saudi Arabia,Al Khobar,26.2794444,50.2083333,Desalination Plant,RO (Reverse osmosis),250,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),1,2010,2010,Construction,,,,,,,Veolia Water Solutions & Technologies,,,,
53550,Dammam,Saudi Arabia,Dammam,26.4258333,50.1141667,Desalination Plant,RO (Reverse osmosis),1920,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,2010,2011,Construction,,,,,,,Wetico,,,,
53992,Damman,Saudi Arabia,Saudi Arabia,24.046464,44.67480496,Desalination Plant,RO (Reverse osmosis),2500,Seawater (TDS 20000ppm - 50000ppm),Industry (TDS <10ppm),,2011,2012,Construction,,,,,,,,,,,
51445,Dawadmi,Saudi Arabia,Riyadh,24.6408333,46.7727778,Desalination Plant,RO (Reverse osmosis),40000,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),6,2008,2011,Construction,,,,,,,GETCO,,,,
51229,DILAM,Saudi Arabia,Riyadh,24.6408333,46.7727778,Desalination Plant,RO (Reverse osmosis),10000,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),2,2007,2010,Construction,,,,,,,GETCO,,,,
51955,Durrat Al Khobar - Zone A,Saudi Arabia,Al Khobar,26.2794444,50.2083333,Desalination Plant,RO (Reverse osmosis),2000,Brackish water or inland water (TDS 3000ppm - <20000ppm),Tourist facilities drinking water in  (TDS 10ppm - <1000ppm),2,,,Construction,,,,,,,AES Arabia Ltd.,,,,
51957,Durrat Al Khobar - Zone C,Saudi Arabia,Al Khobar,26.2794444,50.2083333,Desalination Plant,RO (Reverse osmosis),2000,Brackish water or inland water (TDS 3000ppm - <20000ppm),Tourist facilities drinking water in  (TDS 10ppm - <1000ppm),2,,,Construction,,,,,,,AES Arabia Ltd.,,,,
53600,Gosi Office Park,Saudi Arabia,Riyadh,24.6408333,46.7727778,Desalination Plant,RO (Reverse osmosis),750,Seawater (TDS 20000ppm - 50000ppm),Industry (TDS <10ppm),2,2009,2011,Construction,,,,,,,,,,,
53740,Hafar Al-Batin,Saudi Arabia,���afar al B����in,28.4341667,45.9636111,Desalination Plant,RO (Reverse osmosis),600,Brackish water or inland water (TDS 3000ppm - <20000ppm),Military,2,2010,2011,Construction,,,,,,,Wetico,,,,
53893,Hospital Project,Saudi Arabia,Al Khobar,26.2794444,50.2083333,Desalination Plant,RO (Reverse osmosis),100,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),1,2010,2010,Construction,,,,,,,Veolia Water Solutions & Technologies,,,,
53867,Hospital Project,Saudi Arabia,Hail,18.5463889,42.0488889,Desalination Plant,RO (Reverse osmosis),150,Pure water or tap water (TDS <500ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),1,2010,2010,Construction,,,,,,,Veolia Water Solutions & Technologies,,,,
53726,Hospital Project,Saudi Arabia,Arar,27.8302778,46.4163889,Desalination Plant,RO (Reverse osmosis),500,Pure water or tap water (TDS <500ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),2,2010,2010,Construction,,,,,,,Veolia Water Solutions & Technologies,,,,
53823,INBESCO Project,Saudi Arabia,Al Jubail,27.065556,49.611667,Desalination Plant,RO (Reverse osmosis),300,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),1,2010,2010,Construction,,,,,,,Veolia Water Solutions & Technologies,,,,
54433,International Water Distribution Company Ltd.,Saudi Arabia,,,,Desalination Plant,RO (Reverse osmosis),3000,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,2011,2012,Construction,,,,,,,Al Kawther Industries Ltd.,,,,
53819,Jed-300,Saudi Arabia,Jeddah,21.5169444,39.2191667,Desalination Plant,RO (Reverse osmosis),330,Seawater (TDS 20000ppm - 50000ppm),Tourist facilities drinking water in  (TDS 10ppm - <1000ppm),1,2010,2011,Construction,,,,,,,International Hydro Systems,,,,
53734,Jeddah,Saudi Arabia,Jeddah,21.5169444,39.2191667,Desalination Plant,RO (Reverse osmosis),530,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,2010,2010,Construction,,,,,,,Wetico,,,,
44434,Jeddah Phase 3,Saudi Arabia,Jeddah,21.5169444,39.2191667,Desalination Plant,RO (Reverse osmosis),240000,Seawater (TDS 20000ppm - 50000ppm),,,2008,2012,Construction,,,EPC,,,,Doosan,Wetico,,,
53491,Jizan,Saudi Arabia,Jizan,16.8891667,42.5511111,Desalination Plant,RO (Reverse osmosis),850,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,2010,2010,Construction,,,,,,,Wetico,,,,
53807,Jizan,Saudi Arabia,Jizan,16.8891667,42.5511111,Desalination Plant,RO (Reverse osmosis),400,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,2010,2010,Construction,,,,,,,Wetico,,,,
53414,Karan Utilities & Co Generation Project Phase 1,Saudi Arabia,Al Khars��n��yah,27.2155556,49.2238889,Desalination Plant,RO (Reverse osmosis),3567,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),1,2010,2011,Construction,,,,,,,AES Arabia Ltd.,,,,
53598,Karan Utilities & Co Generation Project Phase II,Saudi Arabia,,,,Desalination Plant,RO (Reverse osmosis),1448,Brackish water or inland water (TDS 3000ppm - <20000ppm),Power stations (TDS <10ppm),1,2010,2011,Construction,,,,,,,AES Arabia Ltd.,,,,
53531,Kaust & Sogex Camps,Saudi Arabia,Jeddah,21.5169444,39.2191667,Desalination Plant,RO (Reverse osmosis),2100,Brackish water or inland water (TDS 3000ppm - <20000ppm),Irrigation (TDS <1000ppm),3,2010,2011,Construction,,,,,,,AES Arabia Ltd.,,,,
52568,KFIA Residential Compound,Saudi Arabia,Al Khobar,26.2794444,50.2083333,Desalination Plant,RO (Reverse osmosis),1200,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),2,2009,2010,Construction,,,,,,,VEOLIA METITO ARABIA INDUSTRIES,,,,
53640,KFUPM,Saudi Arabia,Dhahran,26.3041667,50.1325,Desalination Plant,RO (Reverse osmosis),6000,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),6,2009,2010,Construction,,,,,,,Veolia,,,,
53605,Khomra Re-use expansion,Saudi Arabia,Jeddah,21.5169444,39.2191667,Desalination Plant,Other,10000,Waste Water,Industry (TDS <10ppm),2,2010,2011,Construction,,,,,,,International Hydro Systems,,,,
54148,Kindasa Expansion (Boo),Saudi Arabia,Jeddah,21.5169444,39.2191667,Desalination Plant,RO (Reverse osmosis),16200,Seawater (TDS 20000ppm - 50000ppm),Industry (TDS <10ppm),,2010,2013,Construction,,,,,,,,,,,
54317,King Abdullah Janadriyah Farm,Saudi Arabia,Janadriyah,,,Desalination Plant,RO (Reverse osmosis),5500,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,2010,2011,Construction,,,,,,,AES Arabia Ltd.,,,,
52281,Laila Aflaj,Saudi Arabia,Riyadh,24.6408333,46.7727778,Desalination Plant,RO (Reverse osmosis),25000,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),6,2007,2010,Construction,,,,,,,GETCO,,,,
53469,Madina,Saudi Arabia,Medina,24.4686111,39.6141667,Desalination Plant,RO (Reverse osmosis),912,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,2010,2010,Construction,,,,,,,Wetico,,,,
54292,Military Factories Upgrading of RO unit,Saudi Arabia,,,,Desalination Plant,RO (Reverse osmosis),6000,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,2010,2012,Construction,,,,,,,Al Kawther Industries Ltd.,,,,
53730,MODA Bisha,Saudi Arabia,Bisha,18.2666667,42.75,Desalination Plant,RO (Reverse osmosis),500,Brackish water or inland water (TDS 3000ppm - <20000ppm),Military,1,2010,2010,Construction,,,,,,,Veolia Water Solutions & Technologies,,,,
53834,Nairiah Water Plant,Saudi Arabia,,,,Desalination Plant,RO (Reverse osmosis),250,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),1,2009,2011,Construction,,,,,,,AES Corporation,,,,
52726,Najran,Saudi Arabia,Najran,17.5055556,44.1841667,Desalination Plant,MBR (Membrane Bio Reactors),60000,Seawater (TDS 20000ppm - 50000ppm),,,2009,2010,Construction,,,,,,,Wetico,,,,
53607,Nariyah,Saudi Arabia,���Ayn an Nu���ayr��yah,27.533333,48.416667,Desalination Plant,RO (Reverse osmosis),750,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,2010,2010,Construction,,,,,,,Wetico,,,,
50492,Nariyah Hospital Expansion,Saudi Arabia,Nariyah Hospital Expansion,27.30101138,48.93200685,Desalination Plant,RO (Reverse osmosis),150,,,,2007,,Construction,,,,,,,Wetico,,,,
53434,Nofa Equestrain Resort,Saudi Arabia,Durma,24.6066667,46.1291667,Desalination Plant,RO (Reverse osmosis),1000,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),1,2010,2010,Construction,,,,,,,Wetico,,,,
53745,Petrochemical Factory,Saudi Arabia,Al Jubail,27.065556,49.611667,Desalination Plant,RO (Reverse osmosis),576,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),1,2010,2010,Construction,,,,,,,Veolia Water Solutions & Technologies,,,,
53579,Prince Sultan Palace,Saudi Arabia,Jeddah,21.5169444,39.2191667,Desalination Plant,RO (Reverse osmosis),800,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,2010,2010,Construction,,,,,,,,,,,
53894,Private Residence,Saudi Arabia,Al Khobar,26.2794444,50.2083333,Desalination Plant,RO (Reverse osmosis),100,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),1,2010,2010,Construction,,,,,,,Veolia Water Solutions & Technologies,,,,
53777,Qassim,Saudi Arabia,Al Qassim,25.69103802,42.84832765,Desalination Plant,RO (Reverse osmosis),100,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,2010,2010,Construction,,,,,,,Wetico,,,,
53831,Qassim Curde Oil Pipeline (SEC),Saudi Arabia,Al Qassim,25.69103802,42.84832765,Desalination Plant,RO (Reverse osmosis),265,Brackish water or inland water (TDS 3000ppm - <20000ppm),Irrigation (TDS <1000ppm),1,2009,2011,Construction,,,,,,,AES Corporation,,,,
54503,Qassim Power Plant III,Saudi Arabia,Al Qassim,25.69103802,42.84832765,Desalination Plant,RO (Reverse osmosis),100,Brackish water or inland water (TDS 3000ppm - <20000ppm),Power stations (TDS <10ppm),,2011,2012,Construction,,,,,,,,,,,
53623,Rabigh,Saudi Arabia,Rabigh,22.7986111,39.0322222,Desalination Plant,RO (Reverse osmosis),7680,Seawater (TDS 20000ppm - 50000ppm),Power stations (TDS <10ppm),,2010,2011,Construction,,,,,,,Wetico,,,,
53619,Rabigh,Saudi Arabia,Rabigh,22.7986111,39.0322222,Desalination Plant,RO (Reverse osmosis),733,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,2010,2010,Construction,,,,,,,Wetico,,,,
44257,Ras Al-Khair (MSF),Saudi Arabia,Ras Azzour,28.36179751,48.47325897,Power/Desal Plant,MSF (Multi-stage flash),727375,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),8,2010,2014,Construction,,,EPC,BOT,1760000000,USD,Doosan Heavy Industries & Construction Co., Ltd.,Saudi Archirodon Company Ltd,,,
53287,Ras Al-Khair (RO),Saudi Arabia,Ras Azzour,28.36179751,48.47325897,Desalination Plant,RO (Reverse osmosis),306686,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,2010,2014,Construction,,,EPC,BOT,1760000000,USD,Doosan Heavy Industries & Construction Co., Ltd.,Saudi Archirodon Company Ltd,,,
51950,Ras Tannura Refinery - Aramco,Saudi Arabia,Riyadh,24.6408333,46.7727778,Desalination Plant,RO (Reverse osmosis),1969,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),4,,,Construction,,,,,,,AES Arabia Ltd.,,,,
52130,Rehabilitation of two desalination plants(1 & 2) at R.P.P.,Saudi Arabia,Rabigh,22.7986111,39.0322222,Desalination Plant,MSF (Multi-stage flash),8700,Seawater (TDS 20000ppm - 50000ppm),Power stations (TDS <10ppm),2,2009,2010,Construction,,,,,,,Sasakura Engineering Co., Ltd ,,,,
53868,Residential Compound,Saudi Arabia,Al Khobar,26.2794444,50.2083333,Desalination Plant,RO (Reverse osmosis),150,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),1,2010,2010,Construction,,,,,,,Veolia Water Solutions & Technologies,,,,
53896,Residential Compound,Saudi Arabia,Al Jubail,27.065556,49.611667,Desalination Plant,RO (Reverse osmosis),100,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),1,2010,2010,Construction,,,,,,,Veolia Water Solutions & Technologies,,,,
53852,Residential Compound,Saudi Arabia,Jeddah,21.5169444,39.2191667,Desalination Plant,RO (Reverse osmosis),200,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),1,2010,2010,Construction,,,,,,,Veolia Water Solutions & Technologies,,,,
53869,Residential Compound,Saudi Arabia,Dammam,26.4258333,50.1141667,Desalination Plant,RO (Reverse osmosis),150,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),1,2010,2010,Construction,,,,,,,Veolia Water Solutions & Technologies,,,,
